"","yearmon","max_temp","incidents","assaults","robbery","prepcip","mean_temp","cool_deg_days","heat_deg_days","min_temp","morn_inc","aft_inc","eve_inc","nuit_inc"
"60",Dec 2018,3.34780800928642,1802,1525,277,1.98365074114226,0.818332306160849,0,991.158064516129,-1.67044894040218,345,308,552,1802
"61",Jan 2019,-1.25236215634407,1660,1389,271,1.87151686632208,-5.33941619109677,0,1225.78387096774,-9.43816964753517,313,273,493,1660
"62",Feb 2019,0.636746085571661,1653,1364,289,2.28608718492265,-2.96465491319159,0,1241.72142857143,-6.57065970007508,292,265,531,1653
"63",Mar 2019,3.51320673384663,1820,1597,223,2.14024567483174,0.08694410249514,0,1045.08709677419,-3.33198736649897,365,298,579,1820
"64",Apr 2019,10.5811241503202,1785,1584,201,2.72519800361971,7.01247904186472,0,661.596666666667,3.39596439475909,321,299,599,1785
"65",May 2019,16.2580734923595,2034,1733,301,3.16148345992534,12.1885012513093,0.031063321385902,382.735483870968,8.12304599537642,434,312,685,2034
"66",Jun 2019,23.0406415890968,2188,1910,278,3.6346087915573,18.6764768431394,1.5817860566427,57.4533333333333,14.3144095518069,421,315,646,2188
"67",Jul 2019,27.818553521854,2214,1896,318,2.40027401490111,23.2289722430077,5.22897224300767,0,18.6403945756887,415,356,614,2214
"68",Aug 2019,25.5486656161351,2023,1711,312,1.66310515798749,21.4462126467793,3.47765350699435,1.90645161290323,17.3632871774558,430,324,567,2023
"69",Sep 2019,21.8923942826401,1950,1702,248,1.2340064166443,17.9586448113999,0.893400009482191,62.3233333333333,14.0244478647769,371,305,605,1950
"70",Oct 2019,15.0680113305938,2076,1700,376,4.67267823054042,11.662079274684,0.136222308589195,436.190322580645,8.25256638523692,379,333,668,2076
"71",Nov 2019,5.065960062243,1881,1558,323,1.2494358495248,2.0227138349116,0,988.256666666667,-1.01231518595195,358,308,571,1881
"72",Dec 2019,3.32230913387748,1724,1456,268,2.57244529563823,0.53347604780387,0,964.525806451613,-2.27440018786391,378,303,498,1724
